crime,agency,charge_description,date,address,zipcode,city,type
SEX CRIMES,OCEANSIDE,LEWD OR LASCIVIOUS ACTS W/CHILD UNDER 14 YEARS (F),4/22/2021 0:01,5400  BLOCK LARIAT WAY,92057,OCEANSIDE,Violent
BURGLARY,EL CAJON,BURGLARY (RESIDENTIAL) (F),6/2/2021 15:40,500  BLOCK BALLANTYNE STREET,92020,EL CAJON,Theft
BURGLARY,NATIONAL CITY,BURGLARY (COMMERCIAL) (F),4/13/2021 1:30,1600  BLOCK SWEETWATER ROAD,91950,NATIONAL CITY,Theft
BURGLARY,OCEANSIDE,BURGLARY (COMMERCIAL) (F),3/12/2021 6:00,600  BLOCK DOUGLAS DRIVE,92058,OCEANSIDE,Theft
BURGLARY,OCEANSIDE,BURGLARY (COMMERCIAL) (F),4/4/2021 12:11,3500  BLOCK COLLEGE BOULEVARD,92056,OCEANSIDE,Theft
SEX CRIMES,SAN DIEGO,SEXUAL BATTERY (M),8/15/2021 18:33,S 35TH STREET & NATIONAL AVENUE,92113,SAN DIEGO,Violent
BURGLARY,SAN DIEGO,BURGLARY (COMMERCIAL) (F),7/30/2021 7:16,4400  BLOCK FEDERAL BOULEVARD,92102,SAN DIEGO,Theft
BURGLARY,SAN DIEGO,BURGLARY (RESIDENTIAL) (F),7/28/2021 11:00,11900  BLOCK EL CAMINO REAL,92130,SAN DIEGO,Theft
WEAPONS,SAN DIEGO,FELON/ADDICT/POSSESS/ETC FIREARM (F),3/11/2021 16:14,3600  BLOCK BEYER BOULEVARD,92173,SOUTH BAY,Violent
WEAPONS,CHULA VISTA,CARRY LOADED HANDGUN:NOT REGISTERED OWNER (F),5/29/2021 3:29,500  BLOCK HILLTOP DRIVE,91910,CHULA VISTA,Violent
SEX CRIMES,OCEANSIDE,RAPE:SPOUSE UNCONSCIOUS OF NATURE OF ACT (F),8/2/2021 23:00,3700  BLOCK CARNEGIE DRIVE,92056,OCEANSIDE,Violent
SEX CRIMES,ESCONDIDO,DISORDERLY CONDUCT: PROSTITUTION - COMPENSATION FOR SEX (M),4/8/2021 20:00,1700  BLOCK SEVEN OAKES ROAD,92026,ESCONDIDO,Violent
WEAPONS,SHERIFF,CARRY SWITCHBLADE KNIFE ON PERSON (M),3/12/2021 19:55,POINSETTIA AVENUE & SMILAX ROAD,92069,SAN MARCOS,Violent
SEX CRIMES,SAN DIEGO,SEXUAL BATTERY (M),4/28/2021 22:15,1700  BLOCK COMMERCIAL STREET,92113,SAN DIEGO,Violent
ARSON,CHULA VISTA,ARSON:INHABITED STRUCTURE/PROP (F),6/22/2021 12:58,300  BLOCK BROADWAY,91910,CHULA VISTA,Violent
BURGLARY,SHERIFF,BURGLARY (RESIDENTIAL) (F),4/28/2021 10:25,2700  BLOCK SWEETWATER ROAD,91977,SPRING VALLEY,Theft
BURGLARY,SHERIFF,BURGLARY (RESIDENTIAL) (F),4/28/2021 21:00,9200  BLOCK GORGE AVENUE,92071,SANTEE,Theft
BURGLARY,CHULA VISTA,BURGLARY (COMMERCIAL) (F),6/5/2021 20:30,1000  BLOCK BROADWAY,91911,CHULA VISTA,Theft
SEX CRIMES,EL CAJON,FAIL REGISTER WITH FELONY SEX OFFENDER PRIOR CONVICTION (F),6/28/2021 15:11,1100  BLOCK FRONT STREET,92101,SAN DIEGO,Violent
SEX CRIMES,SHERIFF,FAIL REGISTER WITH FELONY SEX OFFENDER PRIOR CONVICTION (F),3/17/2021 22:18,100 W  BLOCK HARBOR DRIVE,92101,SAN DIEGO,Violent
WEAPONS,CHULA VISTA,ALTER/CHANGE/ETC IMITATION FIREARM TO LOOK LIKE A FIREARM (M),7/18/2021 7:28,EL PORTAL DRIVE & OLD TRAIL DRIVE,91914,CHULA VISTA,Violent
BURGLARY,CORONADO,Burglary,5/2/2021 0:00,2000  BLOCK 02ND STREET,92118,CORONADO,Theft
BURGLARY,OCEANSIDE,BURGLARY (RESIDENTIAL) (F),4/27/2021 12:00,2400  BLOCK AMICK STREET,92058,OCEANSIDE,Theft
BURGLARY,NATIONAL CITY,BURGLARY (RESIDENTIAL) (F),7/9/2021 13:00,2300 E  BLOCK 04TH STREET,91950,NATIONAL CITY,Theft
SEX CRIMES,SHERIFF,SEXUAL BATTERY (M),4/11/2021 1:00,0  BLOCK SDCJ,92101,DETENTION FACIL,Violent
SEX CRIMES,SHERIFF,DISORDERLY CONDUCT: PROSTITUTION - COMPENSATION FOR SEX (M),4/5/2021 14:25,200 W  BLOCK SAN MARCOS BOULEVARD,92069,SAN MARCOS,Violent
SEX CRIMES,SHERIFF,DISORDERLY CONDUCT: PROSTITUTION - COMPENSATION FOR SEX (M),4/5/2021 15:12,200 W  BLOCK SAN MARCOS BOULEVARD,92069,SAN MARCOS,Violent
WEAPONS,SHERIFF,FELON/ADDICT/POSSESS/ETC FIREARM (F),4/13/2021 1:30,7600  BLOCK NORTH AVENUE,91945,LEMON GROVE,Violent
ARSON,OCEANSIDE,ARSON:STRUCTURE/FOREST LAND (F),6/25/2021 13:39,CANYON DRIVE & SR-76 EB,92058,,Violent
BURGLARY,CHULA VISTA,BURGLARY (COMMERCIAL) (F),7/13/2021 22:00,0  BLOCK THIRD AVENUE,91910,,Theft
BURGLARY,ESCONDIDO,BURGLARY (RESIDENTIAL) (F),6/7/2021 3:00,1000  BLOCK NIGHTINGALE PLACE,92027,ESCONDIDO,Theft
BURGLARY,CHULA VISTA,BURGLARY (COMMERCIAL) (F),3/6/2021 14:00,1100  BLOCK BAY BOULEVARD,91911,CHULA VISTA,Theft
BURGLARY,SAN DIEGO,BURGLARY (RESIDENTIAL) (F),5/10/2021 6:52,5900  BLOCK RANCHO MISSION ROAD,92108,SAN DIEGO,Theft
BURGLARY,CHULA VISTA,BURGLARY (RESIDENTIAL) (F),6/18/2021 17:57,100  BLOCK 04TH AVENUE,91910,CHULA VISTA,Theft
BURGLARY,OCEANSIDE,BURGLARY (COMMERCIAL) (F),3/14/2021 18:00,3500  BLOCK MISSION AVENUE,92058,OCEANSIDE,Theft
SEX CRIMES,SAN DIEGO,FAIL REGISTER WITH FELONY SEX OFFENDER PRIOR CONVICTION (F),4/12/2021 8:00,1100  BLOCK FRONT STREET,92101,SAN DIEGO,Violent
BURGLARY,SHERIFF,BURGLARY (RESIDENTIAL) (F),5/20/2021 6:00,1900  BLOCK MONTGOMERY AVENUE,92007,ENCINITAS,Theft
SEX CRIMES,ESCONDIDO,DISORDERLY CONDUCT: PROSTITUTION - COMPENSATION FOR SEX (M),4/8/2021 20:01,1700  BLOCK SEVEN OAKES ROAD,92026,ESCONDIDO,Violent
SEX CRIMES,ESCONDIDO,DISORDERLY CONDUCT: PROSTITUTION - COMPENSATION FOR SEX (M),4/8/2021 20:36,1700  BLOCK SEVEN OAKES ROAD,92026,ESCONDIDO,Violent
SEX CRIMES,ESCONDIDO,DISORDERLY CONDUCT: PROSTITUTION - COMPENSATION FOR SEX (M),4/8/2021 14:10,1700  BLOCK SEVEN OAKES ROAD,92026,ESCONDIDO,Violent
SEX CRIMES,ESCONDIDO,DISORDERLY CONDUCT: PROSTITUTION - COMPENSATION FOR SEX (M),4/8/2021 14:16,1700  BLOCK SEVEN OAKES ROAD,92026,ESCONDIDO,Violent
SEX CRIMES,ESCONDIDO,DISORDERLY CONDUCT: PROSTITUTION - COMPENSATION FOR SEX (M),4/8/2021 15:20,1700  BLOCK SEVEN OAKES ROAD,92026,ESCONDIDO,Violent
BURGLARY,SAN DIEGO,BURGLARY (COMMERCIAL) (F),3/20/2021 8:00,5100  BLOCK PACIFIC HIGHWAY,92110,SAN DIEGO,Theft
WEAPONS,ESCONDIDO,CARRY LOADED FIREARM IN PUBLIC UNDER SPECIFIC CIRCUMSTANCES (F),5/30/2021 16:33,2300 E  BLOCK VALLEY PARKWAY,92027,ESCONDIDO,Violent
WEAPONS,SHERIFF,CARRY CONCEALED DIRK OR DAGGER (F),3/5/2021 16:17,200 W  BLOCK MISSION ROAD,92069,SAN MARCOS,Violent
BURGLARY,OCEANSIDE,BURGLARY (RESIDENTIAL) (F),3/7/2021 21:00,3700  BLOCK ROSELLE AVENUE,92056,OCEANSIDE,Theft
SEX CRIMES,OCEANSIDE,RAPE BY FORCE/FEAR (F),3/5/2021 14:00,2300  BLOCK CATALINA CIRCLE,92056,OCEANSIDE,Violent
SEX CRIMES,OCEANSIDE,RAPE BY FORCE/FEAR (F),3/5/2021 20:00,200  BLOCK CARISSA DRIVE,92057,OCEANSIDE,Violent
ARSON,SAN DIEGO,ARSON:PROP (F),8/29/2021 23:36,1200  BLOCK IMPERIAL AVENUE,92101,SAN DIEGO,Violent
SEX CRIMES,SAN DIEGO,INDECENT EXPOSURE (M),8/30/2021 15:58,4100  BLOCK MARINE VIEW AVENUE,92113,SAN DIEGO,Violent
BURGLARY,SAN DIEGO,BURGLARY (RESIDENTIAL) (F),8/30/2021 15:14,4400  BLOCK MENLO AVENUE,92115,SAN DIEGO,Theft
BURGLARY,SAN DIEGO,BURGLARY (RESIDENTIAL) (F),8/30/2021 8:04,4200  BLOCK 52ND STREET,92115,SAN DIEGO,Theft
SEX CRIMES,SAN DIEGO,RAPE OF DRUGGED VIC (F),8/29/2021 21:00,400  BLOCK H STREET,91910,,Violent
BURGLARY,ESCONDIDO,BURGLARY (COMMERCIAL) (F),7/30/2021 20:00,600  BLOCK METCALF STREET,92025,ESCONDIDO,Theft
SEX CRIMES,SAN DIEGO,SEXUAL BATTERY (F),6/15/2021 19:21,70TH STREET & EL CAJON BOULEVARD,92115,SAN DIEGO,Violent
BURGLARY,NATIONAL CITY,BURGLARY (COMMERCIAL) (F),7/4/2021 15:30,700  BLOCK BAY MARINA DRIVE,91950,NATIONAL CITY,Theft
SEX CRIMES,SHERIFF,FAIL REGISTER WITH FELONY SEX OFFENDER PRIOR CONVICTION (F),4/6/2021 1:18,1000  BLOCK BARONA ROAD,92040,LAKESIDE,Violent
BURGLARY,NATIONAL CITY,BURGLARY (COMMERCIAL) (F),3/27/2021 4:15,1400  BLOCK PLAZA BOULEVARD,91950,NATIONAL CITY,Theft
BURGLARY,OCEANSIDE,BURGLARY (COMMERCIAL) (F),3/22/2021 8:00,4800  BLOCK FRAZEE ROAD,92057,OCEANSIDE,Theft
SEX CRIMES,ESCONDIDO,DISORDERLY CONDUCT: PROSTITUTION - COMPENSATION FOR SEX (M),4/8/2021 19:32,1700  BLOCK SEVEN OAKES ROAD,92026,ESCONDIDO,Violent
BURGLARY,SHERIFF,BURGLARY (COMMERCIAL) (F),5/23/2021 14:00,300 S  BLOCK CEDROS AVENUE,92075,SOLANA BEACH,Theft
SEX CRIMES,ESCONDIDO,DISORDERLY CONDUCT: PROSTITUTION - COMPENSATION FOR SEX (M),4/8/2021 14:15,1700  BLOCK SEVEN OAKES ROAD,92026,ESCONDIDO,Violent
BURGLARY,SAN DIEGO,BURGLARY (COMMERCIAL) (F),5/23/2021 22:20,6100  BLOCK FAIRMOUNT AVENUE,92120,SAN DIEGO,Theft
SEX CRIMES,ESCONDIDO,DISORDERLY CONDUCT: PROSTITUTION - COMPENSATION FOR SEX (M),4/8/2021 18:35,1700  BLOCK SEVEN OAKES ROAD,92026,ESCONDIDO,Violent
SEX CRIMES,ESCONDIDO,DISORDERLY CONDUCT: PROSTITUTION - COMPENSATION FOR SEX (M),4/8/2021 18:20,1700  BLOCK SEVEN OAKES ROAD,92026,ESCONDIDO,Violent
SEX CRIMES,ESCONDIDO,DISORDERLY CONDUCT: PROSTITUTION - COMPENSATION FOR SEX (M),4/8/2021 17:40,1700  BLOCK SEVEN OAKES ROAD,92026,ESCONDIDO,Violent
SEX CRIMES,SAN DIEGO,FAIL REGISTER WITH FELONY SEX OFFENDER PRIOR CONVICTION (F),8/19/2021 8:30,3400  BLOCK SUTHERLAND STREET,92110,SAN DIEGO,Violent
SEX CRIMES,SAN DIEGO,LEWD AND LASCIVIOUS ACTS WITH CHILD UNDER 14 W/FORCE/ETC (F),7/5/2021 8:30,9800  BLOCK AVIARY DRIVE,92131,SAN DIEGO,Violent
BURGLARY,SAN DIEGO,BURGLARY (RESIDENTIAL) (F),8/20/2021 3:00,5000  BLOCK 55TH STREET,92115,SAN DIEGO,Theft
SEX CRIMES,ESCONDIDO,DISORDERLY CONDUCT: PROSTITUTION - COMPENSATION FOR SEX (M),4/8/2021 13:35,1700  BLOCK SEVEN OAKES ROAD,92026,ESCONDIDO,Violent
SEX CRIMES,SHERIFF,DISORDERLY CONDUCT: PROSTITUTION - COMPENSATION FOR SEX (M),4/5/2021 13:40,200 W  BLOCK SAN MARCOS BOULEVARD,92069,SAN MARCOS,Violent
SEX CRIMES,SHERIFF,DISORDERLY CONDUCT: PROSTITUTION - COMPENSATION FOR SEX (M),4/5/2021 14:44,200 W  BLOCK SAN MARCOS BOULEVARD,92069,SAN MARCOS,Violent
BURGLARY,CHULA VISTA,BURGLARY (RESIDENTIAL) (F),7/5/2021 18:30,1800  BLOCK LYNX TERRACE,91915,CHULA VISTA,Theft
BURGLARY,SAN DIEGO,BURGLARY (RESIDENTIAL) (F),8/7/2021 16:00,2000  BLOCK PACIFIC MIST ROAD,92139,SAN DIEGO,Theft
SEX CRIMES,ESCONDIDO,DISORDERLY CONDUCT: PROSTITUTION - SEX FOR COMPENSATION (M),4/8/2021 13:15,1700  BLOCK SEVEN OAKES ROAD,92026,ESCONDIDO,Violent
BURGLARY,SAN DIEGO,BURGLARY (RESIDENTIAL) (F),8/8/2021 13:08,300  BLOCK 14TH STREET,92101,SAN DIEGO,Theft
SEX CRIMES,EL CAJON,SEND/SELL OBSCENE MATTER DEPICTING MINOR (F),5/21/2021 18:23,200  BLOCK BLANCHARD ROAD,92020,EL CAJON,Violent
WEAPONS,SHERIFF,PROHIBITED PERSON OWN/POSSESS/ETC AMMUNITION/ETC (F),4/12/2021 8:37,1800  BLOCK LILAC LANE,91901,ALPINE,Violent
BURGLARY,SAN DIEGO,BURGLARY (RESIDENTIAL) (F),7/28/2021 9:45,3300  BLOCK CENTRAL AVENUE,92105,SAN DIEGO,Theft
BURGLARY,SAN DIEGO,BURGLARY (COMMERCIAL) (F),7/3/2021 21:00,2400  BLOCK HOTEL CIRCLE NORTH,92108,SAN DIEGO,Theft
SEX CRIMES,ESCONDIDO,DISORDERLY CONDUCT: PROSTITUTION - COMPENSATION FOR SEX (M),4/8/2021 21:21,1700  BLOCK SEVEN OAKES ROAD,92026,ESCONDIDO,Violent
BURGLARY,OCEANSIDE,BURGLARY (RESIDENTIAL) (F),7/14/2021 14:59,900 S  BLOCK PACIFIC STREET,92054,OCEANSIDE,Theft
BURGLARY,SAN DIEGO,BURGLARY (RESIDENTIAL) (F),7/27/2021 12:00,1000  BLOCK MOANA DRIVE,92107,SAN DIEGO,Theft
SEX CRIMES,OCEANSIDE,SODOMY W/PERS UNDER 16 YEARS (F),7/22/2021 20:30,600  BLOCK CALIFORNIA STREET,92054,OCEANSIDE,Violent
WEAPONS,CHULA VISTA,FELON/ADDICT/POSSESS/ETC FIREARM (F),5/13/2021 11:00,200  BLOCK WOODLAWN AVENUE,91910,CHULA VISTA,Violent
BURGLARY,SAN DIEGO,BURGLARY (COMMERCIAL) (F),8/6/2021 18:00,3800  BLOCK GRIM AVENUE,92104,SAN DIEGO,Theft
SEX CRIMES,SAN DIEGO,SODOMY BY FORCE/VIOLENT/FEAR (F),4/19/2021 12:00,800  BLOCK BEECH STREET,92101,SAN DIEGO,Violent
WEAPONS,SAN DIEGO,PROHIBITED PERSON OWN/POSSESS/ETC AMMUNITION/ETC (F),3/12/2021 19:59,1000 W  BLOCK SAN YSIDRO BOULEVARD,92173,SOUTH BAY,Violent
SEX CRIMES,SHERIFF,ANNOY/MOLEST VICTIM UNDER 18 YEARS OF AGE (M),5/1/2021 11:36,100  BLOCK TOWN CENTER PARKWAY,92071,SANTEE,Violent
SEX CRIMES,OCEANSIDE,FAIL REGISTER WITH FELONY SEX OFFENDER PRIOR CONVICTION (F),5/20/2021 9:14,200 S  BLOCK HARBOR DRIVE,92054,,Violent
BURGLARY,ESCONDIDO,BURGLARY (COMMERCIAL) (F),4/4/2021 20:00,1600 E  BLOCK VALLEY PARKWAY,92027,ESCONDIDO,Theft
SEX CRIMES,EL CAJON,ANNOY/MOLEST VICTIM UNDER 18 YEARS OF AGE (M),8/6/2021 12:00,1100  BLOCK NARANCA AVENUE,92021,EL CAJON,Violent
SEX CRIMES,OCEANSIDE,RAPE BY FORCE/FEAR (F),5/10/2021 23:00,100  BLOCK HARDING STREET,92057,OCEANSIDE,Violent
WEAPONS,SHERIFF,ILLEGALLY POSSESS ANY ASSAULT WEAPON (F),3/8/2021 12:00,0  BLOCK ECCT,92019,COURT SERVICES,Violent
BURGLARY,OCEANSIDE,BURGLARY (RESIDENTIAL) (F),7/13/2021 6:40,1700 S  BLOCK PACIFIC STREET,92054,OCEANSIDE,Theft
BURGLARY,OCEANSIDE,BURGLARY (COMMERCIAL) (F),5/9/2021 12:30,1200  BLOCK IVEY RANCH ROAD,92057,OCEANSIDE,Theft
WEAPONS,CHULA VISTA,CARRY CONCEALED WEAPON IN VEHICLE (M),4/24/2021 14:45,700  BLOCK OAKLAWN AVENUE,91910,CHULA VISTA,Violent
BURGLARY,SHERIFF,BURGLARY (COMMERCIAL) (F),7/3/2021 14:00,18400  BLOCK VIA DE LAS FLORES,92067,RANCHO SANTA FE,Theft
ARSON,NATIONAL CITY,ARSON:PROP (F),5/21/2021 8:49,1700  BLOCK CLEVELAND AVENUE,91950,NATIONAL CITY,Violent
BURGLARY,ESCONDIDO,BURGLARY (RESIDENTIAL) (F),4/10/2021 20:12,200 W  BLOCK 11TH AVENUE,92025,ESCONDIDO,Theft
BURGLARY,ESCONDIDO,BURGLARY (RESIDENTIAL) (F),4/23/2021 17:03,1300  BLOCK MALONE COURT,92027,ESCONDIDO,Theft
BURGLARY,ESCONDIDO,BURGLARY (COMMERCIAL) (F),4/5/2021 18:00,300 W  BLOCK EL NORTE PARKWAY,92026,ESCONDIDO,Theft
BURGLARY,SAN DIEGO,BURGLARY (RESIDENTIAL) (F),6/28/2021 2:25,3400  BLOCK TEXAS STREET,92104,SAN DIEGO,Theft
WEAPONS,ESCONDIDO,CARRY CONCEALED DIRK OR DAGGER (F),8/12/2021 16:41,900 N  BLOCK QUINCE STREET,92025,ESCONDIDO,Violent
WEAPONS,OCEANSIDE,PROHIBITED PERSON OWN/POSSESS/ETC AMMUNITION/ETC (F),3/22/2021 9:30,GRANDVIEW STREET & RIDGEWAY STREET,92054,OCEANSIDE,Violent
SEX CRIMES,OCEANSIDE,SODOMY:VIC INCAPABLE OF GIVING CONSENT (F),5/25/2021 19:00,1400  BLOCK MISSION AVENUE,92058,OCEANSIDE,Violent
SEX CRIMES,OCEANSIDE,INDECENT EXPOSURE (M),6/8/2021 16:49,500  BLOCK GODFREY STREET,92054,OCEANSIDE,Violent
SEX CRIMES,EL CAJON,UNLAWFUL SEXUAL INTERCOURSE W/MINOR 18 (F),6/12/2021 23:00,600  BLOCK MORGAN WAY,92020,EL CAJON,Violent
SEX CRIMES,ESCONDIDO,290 VIOLATION AFTER INCARCERATION (F),4/19/2021 11:55,900 N  BLOCK QUINCE STREET,92025,ESCONDIDO,Violent
WEAPONS,ESCONDIDO,CARRY CONCEALED DIRK OR DAGGER (F),4/16/2021 1:57,600 N  BLOCK ESCONDIDO BOULEVARD,92025,ESCONDIDO,Violent
BURGLARY,OCEANSIDE,BURGLARY (RESIDENTIAL) (F),6/24/2021 22:00,200 S  BLOCK NEVADA STREET,92054,OCEANSIDE,Theft
WEAPONS,SHERIFF,CARRY SWITCHBLADE KNIFE ON PERSON (M),6/30/2021 3:05,500  BLOCK SWEETWATER ROAD,91977,SPRING VALLEY,Violent
ARSON,SAN DIEGO,ARSON:PROP (F),6/3/2021 11:27,03RD AVENUE & WASHINGTON STREET,92103,SAN DIEGO,Violent
BURGLARY,SAN DIEGO,BURGLARY (RESIDENTIAL) (F),6/27/2021 15:02,3400  BLOCK TRUMBULL STREET,92106,SAN DIEGO,Theft
BURGLARY,SAN DIEGO,BURGLARY (COMMERCIAL) (F),6/27/2021 0:01,5100  BLOCK NORTH HARBOR DRIVE,92106,SAN DIEGO,Theft
BURGLARY,SAN DIEGO,BURGLARY (RESIDENTIAL) (F),6/15/2021 0:01,2200  BLOCK EL CAJON BOULEVARD,92104,SAN DIEGO,Theft
BURGLARY,SAN DIEGO,BURGLARY (RESIDENTIAL) (F),7/31/2021 5:37,4400  BLOCK ARCH STREET,92116,SAN DIEGO,Theft
BURGLARY,SAN DIEGO,BURGLARY (COMMERCIAL) (F),7/3/2021 22:20,3800  BLOCK VALLEY CENTRE DRIVE,92130,SAN DIEGO,Theft
WEAPONS,SAN DIEGO,CARRY CONCEALED DIRK OR DAGGER (F),6/19/2021 4:15,4300  BLOCK CLAIREMONT DRIVE,92117,SAN DIEGO,Violent
BURGLARY,SAN DIEGO,BURGLARY (RESIDENTIAL) (F),3/7/2021 17:40,6100  BLOCK COLLEGE AVENUE,92120,SAN DIEGO,Theft
BURGLARY,SAN DIEGO,BURGLARY (COMMERCIAL) (F),4/2/2021 17:00,1200  BLOCK PROSPECT STREET,92037,SAN DIEGO,Theft
BURGLARY,NATIONAL CITY,BURGLARY (COMMERCIAL) (F),5/12/2021 19:00,1700 E  BLOCK 17TH STREET,91950,NATIONAL CITY,Theft
BURGLARY,OCEANSIDE,BURGLARY (COMMERCIAL) (F),6/28/2021 21:08,200 S  BLOCK FREEMAN STREET,92054,OCEANSIDE,Theft
WEAPONS,SHERIFF,MANUFACTURE/SALE/POSSESS/ETC METAL KNUCKLES (F),4/1/2021 14:48,1000  BLOCK MORRO ROAD,92028,FALLBROOK,Violent
WEAPONS,ESCONDIDO,MANUFACTURE/SALE/POSSESS/ETC LEADED CANE/BILLY/ETC (F),5/12/2021 11:44,1100 N  BLOCK ASH STREET,92027,ESCONDIDO,Violent
BURGLARY,SHERIFF,BURGLARY (COMMERCIAL) (F),4/15/2021 16:00,100  BLOCK CEDAR ROAD,92083,VISTA,Theft
WEAPONS,SHERIFF,MINOR ILLEGALLY POSSESS LIVE AMMUNITION (M),4/7/2021 17:30,300  BLOCK EDDIE DRIVE,92083,VISTA,Violent
SEX CRIMES,SAN DIEGO,RAPE:VICTIM WAS UNCONSCIOUS OR ASLEEP (F),5/30/2021 3:30,400  BLOCK UNIVERSITY AVENUE,92103,SAN DIEGO,Violent
BURGLARY,CHULA VISTA,BURGLARY (RESIDENTIAL) (F),6/21/2021 16:00,700  BLOCK SHORELINE ROAD,91910,CHULA VISTA,Theft
SEX CRIMES,ESCONDIDO,SEX REGISTRANT FAIL REPORT ADDRESS CHANGE (F),5/14/2021 10:00,2700  BLOCK FIELDBROOK WAY,92027,ESCONDIDO,Violent
ARSON,EL CAJON,ARSON:INHABITED STRUCTURE/PROP (F),6/9/2021 15:56,100  BLOCK BLANCHARD ROAD,92020,EL CAJON,Violent
SEX CRIMES,SAN DIEGO,INDECENT EXPOSURE (M),3/27/2021 14:00,4200  BLOCK 40TH STREET,92105,SAN DIEGO,Violent
BURGLARY,SAN DIEGO,BURGLARY (COMMERCIAL) (F),3/27/2021 18:00,3800  BLOCK CEDAR STREET,92105,SAN DIEGO,Theft
BURGLARY,ESCONDIDO,BURGLARY (COMMERCIAL) (F),3/10/2021 17:00,1300  BLOCK MISSION ROAD,92029,ESCONDIDO,Theft
BURGLARY,SAN DIEGO,BURGLARY (COMMERCIAL) (F),4/23/2021 16:30,1100  BLOCK 44TH STREET,92102,SAN DIEGO,Theft
SEX CRIMES,EL CAJON,INDECENT EXPOSURE W/PR (F),3/22/2021 8:45,1000  BLOCK ESTES STREET,92020,EL CAJON,Violent
BURGLARY,SAN DIEGO,BURGLARY (COMMERCIAL) (F),6/26/2021 17:35,1500  BLOCK AIR WING ROAD,92154,SOUTH BAY,Theft
BURGLARY,EL CAJON,BURGLARY (RESIDENTIAL) (F),6/22/2021 2:00,1300  BLOCK PETREE STREET,92020,EL CAJON,Theft
BURGLARY,SAN DIEGO,BURGLARY (COMMERCIAL) (F),7/4/2021 18:00,3800  BLOCK SHERMAN STREET,92110,SAN DIEGO,Theft
BURGLARY,SAN DIEGO,BURGLARY (RESIDENTIAL) (F),4/23/2021 6:00,3100  BLOCK 42ND STREET,92105,SAN DIEGO,Theft
WEAPONS,HARBOR POLICE,CARRY CONCEALED WEAPON IN VEHICLE (M),4/7/2021 19:32,1600  BLOCK SHELTER ISLAND DRIVE,92106,SAN DIEGO,Violent
WEAPONS,SAN DIEGO,PROHIBITED PERSON OWN/POSSESS/ETC AMMUNITION/ETC (F),6/22/2021 22:00,7900  BLOCK SKYLINE DRIVE,92114,SAN DIEGO,Violent
BURGLARY,OCEANSIDE,BURGLARY (RESIDENTIAL) (F),6/17/2021 22:00,200  BLOCK FREDRICKS AVENUE,92058,OCEANSIDE,Theft
BURGLARY,OCEANSIDE,BURGLARY (COMMERCIAL) (F),6/26/2021 16:00,4600  BLOCK NORTH AVENUE,92056,OCEANSIDE,Theft
BURGLARY,SAN DIEGO,BURGLARY (RESIDENTIAL) (F),6/23/2021 3:45,12400  BLOCK CARMEL CAPE,92130,SAN DIEGO,Theft
BURGLARY,SAN DIEGO,BURGLARY (RESIDENTIAL) (F),7/29/2021 14:45,1100  BLOCK OLIVER AVENUE,92109,SAN DIEGO,Theft
SEX CRIMES,SHERIFF,FAIL REGISTER WITH FELONY SEX OFFENDER PRIOR CONVICTION (F),6/21/2021 17:40,100  BLOCK PARK BOULEVARD,92101,SAN DIEGO,Violent
BURGLARY,CHULA VISTA,BURGLARY (RESIDENTIAL) (F),4/16/2021 15:49,800  BLOCK COLORADO AVENUE,91911,CHULA VISTA,Theft
BURGLARY,OCEANSIDE,BURGLARY (RESIDENTIAL) (F),5/10/2021 11:00,5600  BLOCK DARTMOOR CIRCLE,92057,OCEANSIDE,Theft
BURGLARY,SAN DIEGO,BURGLARY (COMMERCIAL) (F),4/24/2021 2:00,1000  BLOCK PROSPECT STREET,92037,SAN DIEGO,Theft
BURGLARY,NATIONAL CITY,BURGLARY (COMMERCIAL) (F),6/16/2021 12:30,3000  BLOCK PLAZA BONITA ROAD,91950,NATIONAL CITY,Theft
BURGLARY,EL CAJON,BURGLARY (RESIDENTIAL) (F),7/14/2021 2:00,1400  BLOCK PETREE STREET,92020,EL CAJON,Theft
SEX CRIMES,SAN DIEGO,SEXUAL PENETRATION W/FORCE/FEAR/ETC (F),4/25/2021 17:30,3000  BLOCK EL CAJON BOULEVARD,92104,SAN DIEGO,Violent
BURGLARY,SAN DIEGO,BURGLARY (RESIDENTIAL) (F),8/7/2021 16:00,1000  BLOCK HORNBLEND STREET,92109,SAN DIEGO,Theft
BURGLARY,SHERIFF,BURGLARY (RESIDENTIAL) (F),8/19/2021 8:00,7500  BLOCK PACIFIC AVENUE,91945,LEMON GROVE,Theft
BURGLARY,CARLSBAD,BURGLARY (RESIDENTIAL) (F),4/14/2021 0:21,4000  BLOCK PENINSULA DRIVE,92010,CARLSBAD,Theft
BURGLARY,NATIONAL CITY,BURGLARY (COMMERCIAL) (F),5/3/2021 9:00,100 W  BLOCK 33RD STREET,91950,NATIONAL CITY,Theft
BURGLARY,HARBOR POLICE,BURGLARY (COMMERCIAL) (F),8/9/2021 22:00,3800  BLOCK NORTH HARBOR DRIVE,92101,SAN DIEGO,Theft
BURGLARY,SAN DIEGO,BURGLARY (RESIDENTIAL) (F),4/6/2021 8:00,10900  BLOCK CREEKBRIDGE PLACE,92128,SAN DIEGO,Theft
BURGLARY,CARLSBAD,BURGLARY (COMMERCIAL) (F),4/10/2021 12:00,3600  BLOCK PIO PICO DRIVE,92008,CARLSBAD,Theft
