longitude,latitude,zipcode
-116.649,33.658,92530
-116.056,33.753,92531
-116.056,33.753,92532
-116.803,33.519,92536
-116.679,33.525,92539
-116.777,33.652,92543
-116.786,33.617,92544
-116.056,33.753,92545
-116.056,33.753,92546
-116.056,33.753,92548
-116.721,33.742,92549
-116.056,33.753,92551
-116.056,33.753,92552
-116.72,33.857,92553
-115.916,33.522,92554
-116.92,33.855,92555
-116.056,33.753,92556
-116.056,33.753,92557
-116.557,33.64,92561
-116.861,33.442,92562
-116.056,33.753,92563
-116.056,33.753,92564
-116.406,33.628,92567
-116.056,33.753,92570
-116.056,33.753,92571
-116.056,33.753,92572
-116.056,33.753,92581
-116.056,33.753,92582
-116.056,33.753,92583
-116.056,33.753,92584
-116.056,33.753,92585
-116.785,33.488,92586
-116.056,33.753,92587
-116.056,33.753,92589
-116.056,33.753,92590
-116.056,33.753,92591
-116.056,33.753,92592
-116.056,33.753,92593
-116.056,33.753,92595
-116.056,33.753,92596
-116.056,33.753,92599
-117.722,33.718,92602
-117.765,33.649,92603
-117.79,33.69,92604
-117.769,33.64,92605
-117.817,33.701,92606
-117.769,33.64,92607
-117.731,33.663,92610
-117.783,33.616,92612
-117.828,33.685,92614
-117.769,33.64,92615
-117.769,33.64,92616
-117.733,33.642,92618
-117.766,33.67,92619
-117.765,33.692,92620
-117.831,33.687,92623
-117.663,33.455,92624
-117.865,33.6,92625
-117.778,33.683,92626
-117.764,33.685,92627
-117.769,33.64,92628
-117.696,33.486,92629
-117.693,33.641,92630
-117.769,33.64,92646
-117.769,33.64,92647
-117.769,33.64,92648
-117.769,33.64,92649
-117.769,33.64,92650
-117.741,33.521,92651
-117.769,33.64,92652
-117.716,33.596,92653
-117.717,33.602,92654
-117.769,33.64,92655
-117.751,33.603,92656
-117.836,33.597,92657
-117.769,33.64,92658
-117.887,33.611,92659
-117.875,33.638,92660
-117.833,33.555,92661
-117.893,33.607,92662
-117.917,33.618,92663
-117.616,33.569,92672
